id,指标主键,quota_level,建议ID,风险级别,画像类别,驾驶员建议内容,管理员建议内容,建议来源
82,驾驶员画像-能耗风险-不良行为-斑马线超速,3,82,4,驾驶员画像,线路中斑马线密集路段提前减速，观察行人动态，确认安全后再通行。,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
83,驾驶员画像-能耗风险-不良行为-违规使用手刹,3,83,4,驾驶员画像,车辆停稳后再拉起手刹，坡道停车时手刹拉至足够力度，避免未停稳或手刹未拉到位导致溜车。,建立违规使用手刹指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
84,驾驶员画像-能耗风险-不良行为-停站N档违规,3,84,4,驾驶员画像,车辆进站停稳后再挂 N 档，上下客完成后及时挂 D 档起步，避免未停稳或长时间挂 N 档。,建立停站N档违规指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
85,驾驶员画像-能耗风险-不良行为-违规使用N档,3,85,4,驾驶员画像,仅在车辆完全停稳时挂 N 档，行驶中（包括滑行、下坡）注意挂 N 档，确保动力与制动正常。,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
86,驾驶员画像-能耗风险-不良行为-不规范转弯,3,86,4,驾驶员画像,行经急转弯路段时提前减速至20km/h以下，鸣笛示意并观察对向车辆。,建立不规范转弯指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
87,驾驶员画像-能耗风险-不良行为-车辆未停稳开车门,3,87,4,驾驶员画像,车辆完全停稳（车身静止、手刹拉起）后，观察侧后方无行人 / 车辆时再开启车门，注意未停稳开门。,建立车辆未停稳开车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
88,驾驶员画像-能耗风险-不良行为-车辆起步不关车门,3,88,4,驾驶员画像,起步前通过内外后视镜确认所有车门完全关闭，仪表盘无车门报警后再起步，避免漏关车门。,建立车辆起步不关车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
89,驾驶员画像-能耗风险-不良行为-空档滑行,3,89,4,驾驶员画像,注意下坡或路口前空档滑行，始终挂档行驶，确保制动系统正常响应。,通过车载监控抓拍空档滑行行为，对违规者开展制动安全培训，考核合格再上岗。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
90,驾驶员画像-能耗风险-不良行为-熄火滑行,3,90,4,驾驶员画像,行驶中保持发动机运转，注意熄火滑行，避免失去动力转向和制动助力，引发安全隐患。,建立熄火滑行指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
91,驾驶员画像-能耗风险-不良行为-不文明鸣笛,3,91,4,驾驶员画像,仅在紧急情况（如行人横穿、车辆变道未观察）时短按喇叭，居民区、学校周边禁鸣，避免长鸣或恶意鸣笛。,建立不文明鸣笛指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
92,驾驶员画像-能耗风险-不良行为-安全带行为,3,92,4,驾驶员画像,上车后立即系好安全带，调整至舒适且紧固状态，全程保持安全带系好，注意中途解开。,建立安全带行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
93,驾驶员画像-能耗风险-不良行为-不规范进站,3,93,4,驾驶员画像,进站前提前减速至 20km/h，开启右转向灯，沿站台平稳驶入，停稳后车身与站台距离控制在 30cm 内。,建立不规范进站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
94,驾驶员画像-能耗风险-不良行为-不规范出站,3,94,4,驾驶员画像,确认乘客上下车完毕、车门关闭后，观察后方来车，打左转向灯，缓慢驶出站台并入主路,建立不规范出站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
95,驾驶员画像-能耗风险-不良行为-急停,3,95,4,驾驶员画像,仅在突发危险（如前方事故、障碍物）时紧急停车，停车前提前打双闪，避免无预警急停影响后车。,建立急停指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
96,驾驶员画像-能耗风险-不良行为-门开禁启开关,3,96,4,驾驶员画像,车门未完全关闭时，不启动车辆或开启禁启开关，确认车门关闭到位后再操作，防止开关失效。,建立门开禁启开关指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
97,驾驶员画像-能耗风险-不良行为-停车不挂N档,3,97,4,驾驶员画像,车辆停稳后（如进站、临时停车）及时挂入 N 挡，拉起手刹，避免长时间挂 D 挡或 R 挡导致设备损耗。,建立停车不挂N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
98,驾驶员画像-能耗风险-不良行为-不规范开关门,3,98,4,驾驶员画像,开关门前观察车内乘客状态（如老人、小孩），缓慢操作车门按钮，避免车门过快开关夹伤乘客。,建立不规范开关门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
99,驾驶员画像-能耗风险-不良行为-安全启动,3,99,4,驾驶员画像,启动前确认档位在 N 挡、手刹拉起，检查仪表盘无故障灯，踩下刹车后再启动发动机，避免带档启动。,建立安全启动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
100,驾驶员画像-能耗风险-不良行为-违规使用空调,3,100,4,驾驶员画像,根据车内温度合理调节空调（夏季 24-26℃、冬季 20-22℃），停车熄火前关闭空调，避免下次启动负荷过大。,建立违规使用空调指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
101,驾驶员画像-能耗风险-不良行为-平路不规范行为,3,101,4,驾驶员画像,平路行驶保持匀速（40-60km/h），避免频繁急加速、急刹车，双手轻握方向盘，保持车道居中。,建立平路不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
102,驾驶员画像-能耗风险-不良行为-上坡不规范行为,3,102,4,驾驶员画像,上坡前提前提速，保持足够动力，避免中途停车或倒车，坡道行驶与前车距离增至≥100 米。,建立上坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
103,驾驶员画像-能耗风险-不良行为-下坡不规范行为,3,103,4,驾驶员画像,下坡时挂低档位（如 3 档）牵制车速，避免长时间踩刹车，与前车距离保持≥80 米，注意空档滑行。,建立下坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
104,驾驶员画像-能耗风险-不良行为-违规使用总电,3,104,4,驾驶员画像,仅在车辆启动前或维修时开启总电开关，行驶中注意频繁切换总电，避免电气设备故障。,建立违规使用总电指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
105,驾驶员画像-能耗风险-不良行为-路口大油门,3,105,4,驾驶员画像,路口起步或通行时，缓慢踩下油门，避免大油门急加速，防止车辆窜动或影响横向车辆。,建立路口大油门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
106,驾驶员画像-能耗风险-不良行为-进站违规制动,3,106,4,驾驶员画像,进站前提前 50 米缓慢踩刹车减速，避免临近站台猛踩制动，确保车辆平稳停稳，减少乘客前倾。,建立进站违规制动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
107,驾驶员画像-能耗风险-不良行为-区间超速,3,107,4,驾驶员画像,区间行驶中观察限速标识（如 60km/h），控制车速不超限速，避免区间平均速度超标。,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
